sample_id,tc,tn
icr068559,0.441993535,0.025769463
icr068560,0.256768018,0.012994889
icr068579,0.387031332,0.023878675
icr068580,0.289942354,0.020894985
icr068599,0.402911365,0.026331127
icr068600,0.275862098,0.018679144
icr068619,0.533224225,0.036921814
icr068639,0.507555991,0.036029952
icr068640,0.24686639,0.01601538
icr068662,0.728738904,0.039825477
icr068663,0.401858374,0.02073499
icr068677,0.69581899,0.045971178
icr068678,0.364550546,0.025983766
icr068697,0.512170374,0.030397395
icr068698,0.409647167,0.025323055
icr068717,0.715175539,0.049475599
icr068718,0.257178545,0.015798869
icr069789,0.150037818,0.007523017
icr069790,0.233059123,0.012370976
icr069809,0.203885183,0.010462514
icr069810,0.15273387,0.008030948
icr069829,0.172065772,0.010724854
icr069830,0.106669374,0.005037733
icr069849,0.202885777,0.014975701
icr069850,0.110042546,0.009216189
icr069869,0.215424046,0.016252889
icr069870,0.171011753,0.009536479
icr069889,0.167393155,0.009143537
icr069890,0.167494446,0.008901191
icr069909,0.221074842,0.01362048
icr069910,0.149396256,0.00760975
icr069929,0.235286243,0.014021483
icr069930,0.16291187,0.009785778
icr069949,0.180641986,0.011597377
icr069950,0.100458797,0.005153129
icr069969,0.197492927,0.011829551
icr069970,0.116767764,0.006471855
icr069989,0.194189243,0.011287661
icr069990,0.135721058,0.006867991
icr070009,0.162949219,0.01011509
icr070010,0.103242818,0.006801497
icr070029,0.385544226,0.024546814
icr070030,0.244478114,0.016629878
icr070049,0.294687673,0.029171227
icr070050,0.188791081,0.013128961
icr070069,0.175590709,0.011008883
icr070070,0.158454731,0.008121933
icr070089,0.210052252,0.014095443
icr070090,0.133304134,0.006632819
icr070112,1.332114756,0.074304376
icr070113,0.975445211,0.047395922
icr070124,1.223357141,0.071458347
icr070125,0.568404078,0.030782182
icr070142,0.436560169,0.019823285
icr070143,0.289909467,0.019088244
icr070164,0.785458952,0.042231388
icr070165,0.469228998,0.022017253
icr070193,0.370530412,0.018756957
icr070194,0.303176895,0.021098292
icr070202,0.445373341,0.029096881
icr070203,0.236215562,0.015928313
icr070246,0.297342673,0.029227158
icr070247,0.569859326,0.044207839
icr070262,0.344798446,0.016798602
icr070263,0.196639739,0.01077549
icr070276,0.459795058,0.017703161
icr070277,0.289891452,0.015206079
icr070288,0.758759916,0.038754452
icr070289,0.439631879,0.016710852000000002
icr070308,0.448509216,0.020762077
icr070309,0.287085101,0.013776556
icr070328,0.287180409,0.012305589
icr070329,0.187543482,0.008961873
icr070348,0.406949207,0.021846487
icr070349,0.263091385,0.013638962
icr070370,0.750454515,0.032754455
icr070371,0.457946181,0.01731522
icr070386,0.212575503,0.011162659
icr070387,0.385821998,0.018361876
icr072246,1.551285923,0.079766974
icr072247,0.801102608,0.041513983
icr072266,1.061671317,0.053052777
icr072267,0.781196713,0.034970978
icr072286,1.335025668,0.064402726
icr072287,0.717626303,0.035565075
icr072306,1.399621785,0.098564133
icr072307,1.041868567,0.085908145
icr072325,1.287815869,0.059014341
icr072326,0.688835055,0.03452776
icr072345,1.679118514,0.091383703
icr072346,1.147164702,0.063281912
icr072365,1.907432675,0.102170307
icr072366,1.304060221,0.073108051
icr072385,1.008366913,0.057745362
icr072386,0.561098158,0.034513665
icr072405,1.436107397,0.064333875
icr072406,0.72724616500000006,0.036394207
icr072425,1.42846787,0.076104861
icr072426,0.767974794,0.043597016
icr072445,1.805909872,0.097357873
icr072446,0.691702545,0.039571101
icr072465,1.548274219,0.09251764
icr072466,2.51123178,0.138632566
icr072485,1.189210653,0.079398032
icr072486,0.84836641,0.0604118
icr072505,2.5287323,0.143923655
icr072506,1.606539607,0.0958522
icr072525,1.510501027,0.068828359
icr072526,0.977496564,0.041647544
icr072544,2.837253213,0.203247592
icr072545,1.218673944,0.066105887
icr072596,0.628103614,0.045732994
icr072597,0.242102057,0.015093607
icr072616,0.444584399,0.02401349
icr072617,0.362627774,0.022074242
icr072636,0.534724012,0.026903705
icr072637,0.381150022,0.023101196
icr072656,0.354943857,0.020344825
icr072657,0.272414237,0.020041277
icr072676,0.515635252,0.038498528
icr072677,0.249316029,0.018372499
icr072696,0.496584579,0.03255192
icr072697,0.214894347,0.014298101
icr072716,0.323854297,0.020559507
icr072717,0.198681951,0.015181504
icr072736,0.364379123,0.026214024
icr072737,0.445266098,0.025740458
icr072756,0.418224812,0.026464367
icr072757,0.218759879,0.014822536
icr072776,0.38457875,0.02402324
icr072777,0.299394354,0.023399212
icr072796,0.327227324,0.024066321
icr072797,0.296442926,0.021146025
icr072816,0.483281553,0.039283101
icr072817,0.27357097,0.024310282
icr072836,0.434857786,0.031811263
icr072837,0.255938604,0.017156286
icr072856,0.236164652,0.0184375
icr072857,0.175657079,0.014327293
icr072876,0.440336019,0.041691586
icr072877,0.229974851,0.020265687
icr072896,0.401227206,0.028512886
icr072897,0.212989844,0.017070195
icr072948,1.498146415,0.076623254
icr072949,1.115357041,0.055376271
icr072968,1.291604698,0.072843708
icr072969,0.639416516,0.036257159
icr072988,1.329867661,0.067226704
icr072989,1.894930661,0.090886105
icr073008,0.59051919,0.029398978
icr073009,1.07496345,0.058888923
icr073028,1.141942799,0.061600652
icr073029,0.61190775,0.032225213
