sample_id,tc,tn
icr042115,31.67921305,1.9297772599999998
icr042116,19.772585030000002,1.25440359
icr042134,23.28563333,1.63607754
icr042135,13.3211714,1.00366451
icr042152,11.71362638,0.7993025300000001
icr042153,11.3065356,0.56546682
icr042170,14.160264730000002,0.97244151
icr042171,10.67102551,0.59505455
icr042189,70.44235945,5.280094440000001
icr042190,30.8238256,2.27447577
icr042208,26.59676194,1.75710484
icr042209,16.53477788,1.11658577
icr042227,30.47569513,2.46396355
icr042228,10.62578321,0.71329661
icr042247,17.88113356,0.9026961
icr042248,17.49450207,0.7899787599999999
icr042265,10.75754046,0.83156418
icr042266,8.46697211,0.71119528
icr042790,56.2387991,3.9520414199999996
icr042791,51.22694731,3.5253842200000003
icr042810,28.03938627,1.7444571899999999
icr042811,14.999046920000001,1.02754686
icr042836,49.7369957,3.08675319
icr042837,37.949980499999995,2.43350036
icr042853,64.350306990000007,4.7140404600000005
icr042854,42.67981529,2.84634665
icr042867,51.43127441,3.3860056100000002
icr042868,48.44798564999999,3.0454289899999996
icr042896,27.347455019999998,2.02778541
icr042897,15.953587890000001,1.1974467
icr042908,37.80624032,2.55826391
icr042909,28.063279389999998,1.78897671
icr042930,58.6945653,4.15230572
icr042931,41.65318727,3.15003425
icr042946,51.094126700000004,3.3084973699999995
icr042947,47.95363426,3.09141681
icr042966,50.33820629,3.58271405
icr042967,41.69766188,3.0249695500000002
icr042990,43.504090309999995,3.05032551
icr042991,32.58764982,2.10893124
icr043011,60.463523859999995,4.55206499
icr043012,59.241178039999994,4.52892587
icr043021,50.29428244,3.2128433899999997
icr043022,44.65786457,2.8984759700000002
icr043040,54.65671778,3.6568549299999997
icr043041,50.46293736,3.40159595
icr043068,31.21308327,2.29211688
icr043069,15.64833641,1.1579451
icr043090,48.54918242,3.44699517
icr043091,32.67094374,2.25829959
icr043132,26.01420999,1.59722
icr043133,17.18966365,1.12379853
icr043152,16.36363626,0.9088734199999999
icr043153,9.162965119999999,0.49748015
icr043172,7.0546034,0.45209317
icr043173,5.532647969999999,0.41044425
icr043198,8.45547169,0.5879136
icr043199,7.65128076,0.49211686
icr043211,19.504853490000002,1.20607991
icr043212,19.10238743,1.2088247
icr043230,11.38563752,0.78482285
icr043231,11.93139374,0.80252245
icr043248,16.87860191,1.01787213
icr043249,11.671160460000001,0.78994256
icr043266,19.71359372,1.19879242
